Unique ID,CG Number,E01,E12,E14,E15,E16,E17,E18,E20,A82,A84,A95,A131,A186,A377,A384,A398,avg_E,avg_A,log2FC,submitted_id,FBgn_ID
INC047A11,CG7917,1.04282,1.2186,1.14081,1.10811,1.19028,1.09257,1.11767,1.05501,1.08627,1.04819,1,1.33497,1.09195,1.15177,1.08453,1.2161,1.12073375,1.1267225,0.007688657,CG7917,FBgn0016685
INC096C11,CG7919,1.29699,1.2652,1.70638,1.26068,1.10065,1.08435,1.02644,1,1.21111,1.62281,1.39084,1.17549,1.62601,1.10027,1.18009,1.32908,1.21758625,1.3294625,0.126819112,CG7919,FBgn0028379
INC032D01,CG7921,1.49612,1.20634,1.23548,1.05869,1,1.42418,1.25799,1.3531,1.20077,1.22574,1.08301,1.3941,1.29663,1.25998,1.1871,1.10461,1.2539875,1.2189925,-0.040833718,CG7921,FBgn0039738
INC116A04,CG7925,1.1056,1.43716,1.95135,1.42706,1.44117,1,1.65155,1.42108,1.52017,1.42562,2.41437,1.90282,1.22365,2.23801,1.49247,1.63396,1.42937125,1.73138375,0.276544848,CG7925,FBgn0003714
INC096E06,CG7927,1.46703,1.23889,1.52808,1.83359,1.31697,1.18119,1.55692,1.59368,1.41516,1.42637,1.10549,1.57284,1,1.30883,1.59975,1.43411,1.46454375,1.35781875,-0.109160379,CG7927,FBgn0027549
INC149D12,CG7929,1.39377,1.50528,2.83834,2.25419,1.64614,1.23081,1,1.70586,1.69974,1.59854,2.1505,1.65399,1.85423,1.70629,1.97768,1.90594,1.69679875,1.81836375,0.099825366,CG7929,FBgn0041102
INC023F01,CG7935,1.28593,1.21903,1.19203,1.51115,1.16636,1.14034,1.31708,1.33761,1.00572,1.13769,1.17737,1.22286,1,1.18614,1.03549,1.05427,1.27119125,1.1024425,-0.205477688,CG7935,FBgn0026252
INC117A03,CG7937,1.10286,1.70071,1.67884,1.32636,2.93833,1.90419,1.60989,1.50862,1.33684,1.83618,1.54246,1,1.70492,1.65262,1.62806,2.31811,1.721225,1.62739875,-0.080867912,CG7937,FBgn0004863
INC119A12,CG7939,1.21034,1.1842,1.28927,1,1.18212,1.25171,1.20834,1.35776,1.24894,1.32605,1.47782,1.11285,1.32928,1.17236,1.14451,1.20682,1.2104675,1.25232875,0.04904899,CG7939,FBgn0002626
INC083D08,CG7940,1,5.50145,3.47238,3.5013,5.42738,3.19809,5.26161,6.18123,7.03391,3.47535,3.98591,6.02636,4.11702,4.91147,4.14771,6.34016,4.19293,5.00473625,0.255335296,CG7940,FBgn0038576
INC035F12,CG7945,1.0841,1.24812,1.00751,1.09905,1.23913,1,1.09225,1.22923,1.13387,1.10025,1.5363,1.1087,1.07877,1.07319,1.00724,1.117,1.12492375,1.144415,0.024783097,CG7945,FBgn0036505
INC084G11,CG7948,1.15334,1,1.88333,2.7124,1.49074,1.14506,2.79228,1.75636,2.34487,3.06883,1.16276,1.80157,1.36,1.02863,1.1281,1.59322,1.74168875,1.6859975,-0.046884432,CG7948,FBgn0003479
